Player,Overall Pick,Rookie NBA FG%,Rookie NBA PPG,Rookie NBA RPG,Rookie NBA APG,College FG%,College PPG,College RPG,College APG,Age at Draft,Height (ft),Position
Blake Griffin,1,50.60%,22.5,12.1,3.8,61.80%,18.8,11.8,2.1,20,6-10,PF
Hasheem Thabeet,2,58.80%,3.1,3.6,0.2,61.10%,10.3,8.5,0.4,22,7-3,C
James Harden,3,40.30%,9.9,3.2,1.8,50.60%,19,5.4,3.7,19,6-5,SG
John Wall,1,40.90%,16.4,4.6,8.3,46.10%,16.6,4.3,6.5,19,6-3,PG
Evan Turner,2,42.50%,7.2,3.9,2,50.20%,13.4,6.6,4,21,6-6,SG/SF
Derrick Favors,3,51.70%,6.8,5.3,0.5,61.10%,12.4,8.4,1,18,6-9,PF/C
Kyrie Irving,1,46.90%,18.5,3.7,5.4,52.90%,17.5,3.4,4.3,19,6-2,PG
Derrick Williams,2,41.20%,8.8,4.7,0.6,58.10%,17.8,7.3,1.1,20,6-8,PF/SF
Enes Kanter,3,49.60%,4.6,4.2,0.1,50.00%,3.2,6.4,0.2,19,6-10,C
Anthony Davis,1,51.60%,13.5,8.2,1,62.30%,14.2,10.4,1.3,19,6-10,PF/C
Michael Kidd-Gilchrist,2,45.80%,9,5.8,1.5,49.10%,11.9,7.4,1.9,18,6-6,SF
Bradley Beal,3,41.00%,13.9,3.8,2.4,44.50%,14.8,6.7,2.2,19,6-3,SG
Anthony Bennett,1,35.60%,4.2,3,0.3,53.30%,16.1,8.1,1,20,6-8,PF
Victor Oladipo,2,41.90%,13.8,4.1,4.1,59.90%,13.6,6.3,2.1,21,6-4,SG
Otto Porter Jr.,3,36.30%,2.1,1.5,0.3,48.00%,16.2,7.5,2.7,20,6-8,SF
Andrew Wiggins,1,43.70%,16.9,4.6,2.1,44.80%,17.1,5.9,1.5,19,6-7,SF
Jabari Parker,2,49.00%,12.3,5.5,1.7,47.30%,19.1,8.7,1.2,19,6-8,PF
Joel Embiid,3,46.60%,20.2,7.8,2.1,62.60%,11.2,8.1,1.4,20,7-0,C
Karl-Anthony Towns,1,54.20%,18.3,10.5,2,56.60%,10.3,6.7,1.1,19,7-0,C
D'Angelo Russell,2,41.00%,13.2,3.4,3.3,44.90%,19.3,5.7,5,19,6-4,PG
Jahlil Okafor,3,50.80%,17.5,7,1.2,66.40%,17.3,8.5,1.3,19,6-10,C
Ben Simmons,1,54.50%,15.8,8.1,8.2,56.00%,19.2,11.8,4.8,19,6-10,PG/PF
Brandon Ingram,2,40.20%,9.4,4,2.1,44.20%,17.3,6.8,2,18,6-8,SF
Jaylen Brown,3,45.40%,6.6,2.8,0.8,43.10%,14.6,5.4,2,19,6-6,SF/SG
Markelle Fultz,1,40.50%,7.1,3.1,3.8,47.60%,23.2,5.7,5.9,19,6-4,PG
Lonzo Ball,2,36.00%,10.2,6.9,7.2,55.10%,14.6,6,7.6,19,6-6,PG
Jayson Tatum,3,47.50%,13.9,5,1.6,45.20%,16.8,7.3,2.1,19,6-8,SF
Deandre Ayton,1,58.50%,16.3,10.3,1.8,61.20%,20.1,11.6,1.6,19,7-1,C
Marvin Bagley III,2,50.40%,14.9,7.6,1,61.40%,21,11.1,1.5,19,6-10,PF
Luka Doncic,3,42.70%,21.2,7.8,6,45.10%,16,4.8,4.3,19,6-7,PG/SG
Zion Williamson,1,58.30%,22.5,6.3,2.1,68.00%,22.6,8.9,2.1,18,6-6,PF
Ja Morant,2,47.70%,17.8,3.9,7.3,49.90%,24.5,5.7,10,19,6-2,PG
RJ Barrett,3,40.20%,14.3,5,2.6,45.40%,22.6,7.6,4.3,19,6-6,SG/SF
Anthony Edwards,1,41.70%,19.3,4.7,2.9,40.20%,19.1,5.2,2.8,19,6-4,SG
James Wiseman,2,51.90%,11.5,5.8,0.7,76.90%,19.7,10.7,0.3,19,7-1,C
LaMelo Ball,3,43.60%,15.7,5.9,6.1,37.50%,17,7.6,6.8,19,6-7,PG
Cade Cunningham,1,41.60%,17.4,5.5,5.6,43.80%,20.1,6.2,3.5,19,6-6,PG
Jalen Green,2,42.60%,17.3,3.4,2.6,46.10%,17.9,4.1,2.8,19,6-4,SG
Evan Mobley,3,50.80%,15,8.3,2.5,57.80%,16.4,8.7,2.4,20,7-0,PF/C
Paolo Banchero,1,42.70%,20,6.9,3.7,47.80%,17.2,7.8,3.2,19,6-10,PF
Chet Holmgren,2,53.00%,16.5,7.9,2.4,60.70%,14.1,9.9,1.9,20,7-1,PF/C
Jabari Smith Jr.,3,40.80%,12.8,7.2,1.3,42.90%,16.9,7.4,2,19,6-11,PF
Victor Wembanyama,1,46.50%,21.4,10.6,3.9,47.00%,21.6,10.4,2.4,19,7-4,C
Brandon Miller,2,44.00%,17.3,4.3,2.4,43.00%,18.8,8.2,2.1,20,6-9,SF
Scoot Henderson,3,38.50%,14,3.1,5.4,42.90%,16.5,5.4,6.5,19,6-3,PG
Zaccharie Risacher,1,38.60%,12.6,3.6,1.2,43.90%,10.1,3.8,0.9,19,6-9,SF
Alex Sarr,2,41.20%,13,6.5,2.4,51.60%,9.4,4.3,0.9,19,7-0,C
Reed Sheppard,3,44.40%,6.5,3,2.5,53.60%,12.5,4.1,4.5,20,6-3,PG/SG
Cooper Flagg,1,45.40%,15.5,6.3,3.1,48.00%,19.2,7.5,4.2,18,6-9,PF
Dylan Harper,2,50.00%,14,4,3.8,51.20%,15.5,4.5,5.1,19,6-6,PG
VJ Edgecombe,3,42.10%,11.8,3.5,2.2,46.50%,14.8,5.2,3.4,19,6-5,SG
