Player,Overall Pick,Rookie NBA FG%,Rookie NBA PPG,Rookie NBA RPG,Rookie NBA APG,College FG%,College PPG,College RPG,College APG,Age at Draft,Height (ft),Position,Height_feet,Height_inches,Final_height,Top3Likelihood
Blake Griffin,1,50.6,22.5,12.1,3.8,61.8,18.8,11.8,2.1,20,6-10,PF,6,10,82,1.0
Hasheem Thabeet,2,58.8,3.1,3.6,0.2,61.1,10.3,8.5,0.4,22,7-3,C,7,3,87,0.85
James Harden,3,40.3,9.9,3.2,1.8,50.6,19.0,5.4,3.7,19,6-5,SG,6,5,77,0.7
John Wall,1,40.9,16.4,4.6,8.3,46.1,16.6,4.3,6.5,19,6-3,PG,6,3,75,1.0
Evan Turner,2,42.5,7.2,3.9,2.0,50.2,13.4,6.6,4.0,21,6-6,SG/SF,6,6,78,0.85
Derrick Favors,3,51.7,6.8,5.3,0.5,61.1,12.4,8.4,1.0,18,6-9,PF/C,6,9,81,0.7
Kyrie Irving,1,46.9,18.5,3.7,5.4,52.9,17.5,3.4,4.3,19,6-2,PG,6,2,74,1.0
Derrick Williams,2,41.2,8.8,4.7,0.6,58.1,17.8,7.3,1.1,20,6-8,PF/SF,6,8,80,0.85
Enes Kanter,3,49.6,4.6,4.2,0.1,50.0,3.2,6.4,0.2,19,6-10,C,6,10,82,0.7
Anthony Davis,1,51.6,13.5,8.2,1.0,62.3,14.2,10.4,1.3,19,6-10,PF/C,6,10,82,1.0
Michael Kidd-Gilchrist,2,45.8,9.0,5.8,1.5,49.1,11.9,7.4,1.9,18,6-6,SF,6,6,78,0.85
Bradley Beal,3,41.0,13.9,3.8,2.4,44.5,14.8,6.7,2.2,19,6-3,SG,6,3,75,0.7
Anthony Bennett,1,35.6,4.2,3.0,0.3,53.3,16.1,8.1,1.0,20,6-8,PF,6,8,80,1.0
Victor Oladipo,2,41.9,13.8,4.1,4.1,59.9,13.6,6.3,2.1,21,6-4,SG,6,4,76,0.85
Otto Porter Jr.,3,36.3,2.1,1.5,0.3,48.0,16.2,7.5,2.7,20,6-8,SF,6,8,80,0.7
Andrew Wiggins,1,43.7,16.9,4.6,2.1,44.8,17.1,5.9,1.5,19,6-7,SF,6,7,79,1.0
Jabari Parker,2,49.0,12.3,5.5,1.7,47.3,19.1,8.7,1.2,19,6-8,PF,6,8,80,0.85
Joel Embiid,3,46.6,20.2,7.8,2.1,62.6,11.2,8.1,1.4,20,7-0,C,7,0,84,0.7
Karl-Anthony Towns,1,54.2,18.3,10.5,2.0,56.6,10.3,6.7,1.1,19,7-0,C,7,0,84,1.0
D'Angelo Russell,2,41.0,13.2,3.4,3.3,44.9,19.3,5.7,5.0,19,6-4,PG,6,4,76,0.85
Jahlil Okafor,3,50.8,17.5,7.0,1.2,66.4,17.3,8.5,1.3,19,6-10,C,6,10,82,0.7
Ben Simmons,1,54.5,15.8,8.1,8.2,56.0,19.2,11.8,4.8,19,6-10,PG/PF,6,10,82,1.0
